species,taxid,genus,family,order,class,phylum
Annulohypoxylon truncatum,327061,Annulohypoxylon,Hypoxylaceae,Xylariales,Sordariomycetes,Ascomycota
Daldinia concentrica,42361,Daldinia,Hypoxylaceae,Xylariales,Sordariomycetes,Ascomycota
Hypoxylon carneum,326655,Hypoxylon,Hypoxylaceae,Xylariales,Sordariomycetes,Ascomycota
Hypoxylon fragiforme,63214,Hypoxylon,Hypoxylaceae,Xylariales,Sordariomycetes,Ascomycota
Hypoxylon fulvo-sulphureum,1607781,Hypoxylon,Hypoxylaceae,Xylariales,Sordariomycetes,Ascomycota
Hypoxylon fuscum,109372,Hypoxylon,Hypoxylaceae,Xylariales,Sordariomycetes,Ascomycota
Hypoxylon hypomiltum,326662,Hypoxylon,Hypoxylaceae,Xylariales,Sordariomycetes,Ascomycota
Hypoxylon macrocarpum,292721,Hypoxylon,Hypoxylaceae,Xylariales,Sordariomycetes,Ascomycota
Hypoxylon rickii,110545,Hypoxylon,Hypoxylaceae,Xylariales,Sordariomycetes,Ascomycota
Hypoxylon rubiginosum,110542,Hypoxylon,Hypoxylaceae,Xylariales,Sordariomycetes,Ascomycota
Hypoxylon ticinense,326680,Hypoxylon,Hypoxylaceae,Xylariales,Sordariomycetes,Ascomycota
Jackrogersella cohaerens,1955267,Jackrogersella,Hypoxylaceae,Xylariales,Sordariomycetes,Ascomycota
Jackrogersella minutella,1955266,Jackrogersella,Hypoxylaceae,Xylariales,Sordariomycetes,Ascomycota
Jackrogersella multiformis,1955268,Jackrogersella,Hypoxylaceae,Xylariales,Sordariomycetes,Ascomycota
